target_day,new_day,rmse_spfh,rmse_prmsl,rmse_rh
1958-01-01,1965-12-22,0.688007,0.77889436,0.9102731
1959-01-01,2008-01-09,0.82804567,0.5901202,0.7765538
1960-01-01,2014-01-09,0.9495826,0.4797435,0.79987055
1961-01-01,1966-12-28,0.7438672,0.2607285,0.7431189
1962-01-01,2001-12-30,0.9766542,0.5331601,0.87898964
1963-01-01,1996-12-31,0.7994556,0.22031325,0.85389763
1964-01-01,2007-12-30,0.77032006,0.48506376,0.8681851
1965-01-01,1993-12-31,0.75936335,0.5310448,0.86460274
1966-01-01,2018-01-03,0.7639773,0.36943328,0.82602465
1967-01-01,1980-12-26,0.69983274,0.3756869,0.74516606
1968-01-01,1960-12-28,0.63920796,0.56834334,0.9207651
1969-01-01,1974-12-31,0.8416155,0.51825756,0.9668198
1970-01-01,1965-12-28,0.74703306,0.4485387,0.84523004
1971-01-01,1968-12-29,0.7327677,0.4369542,0.8932412
1972-01-01,1964-12-22,0.8005351,0.7231461,0.93994653
1973-01-01,2007-12-24,1.0029161,0.47566715,0.79408824
1974-01-01,1994-12-24,0.9576797,0.3772342,0.8110704
1975-01-01,1991-12-29,0.651218,0.5536981,0.6419247
1976-01-01,1988-12-24,0.7588268,0.37150696,0.9471088
1977-01-01,1985-12-25,0.7512808,0.53860164,0.8834086
1978-01-01,1975-01-09,0.8143424,0.33717036,0.7689905
1979-01-01,1959-01-09,0.9351443,0.45953497,0.9421888
1980-01-01,1961-01-09,0.7120723,0.6044413,0.86928266
1981-01-01,2005-01-02,0.48722652,0.5789959,0.67442703
1982-01-01,2010-01-01,0.79168326,0.6099179,0.9285697
1983-01-01,1988-12-28,0.81871253,0.37711304,0.862095
1984-01-01,1980-12-31,0.6898593,0.69201946,0.67287797
1985-01-01,1980-01-02,0.5525699,0.5894487,0.8762177
1986-01-01,1961-12-29,0.67130256,0.489373,1.0914319
1987-01-01,1982-01-05,0.9417901,0.328932,0.9157604
1988-01-01,1998-01-03,0.7226954,0.54682523,0.8376038
1989-01-01,1991-12-25,0.9109142,0.45651874,0.8010865
1990-01-01,1972-12-26,0.8440007,0.7239662,1.0485992
1991-01-01,2007-01-07,0.87043923,0.49627665,0.77234805
1992-01-01,2016-12-24,0.69875836,0.37559032,0.61915064
1993-01-01,1996-12-26,0.6350292,0.54564995,0.92389274
1994-01-01,1980-12-26,0.7695846,0.497981,0.7924942
1995-01-01,1965-12-28,0.90643364,0.48295656,0.9331866
1996-01-01,1963-01-04,1.0439322,0.46985227,1.013557
1997-01-01,2003-01-09,0.7505346,0.41184887,0.9722127
1998-01-01,2012-01-02,0.8565559,0.60304874,0.8944901
1999-01-01,1996-01-11,1.0672665,0.4918482,0.8461326
2000-01-01,2015-01-06,0.75321704,0.30655742,0.98479414
2001-01-01,2004-01-08,0.9586564,0.5694216,0.9209799
2002-01-01,2009-01-02,1.022871,0.7375121,1.0269872
2003-01-01,1994-01-02,0.96663314,0.36071944,0.97240394
2004-01-01,1996-01-02,0.9655441,0.4613052,0.9603174
2005-01-01,1982-12-27,0.7150989,0.34317252,0.8614423
2006-01-01,1997-12-27,0.66776454,0.5172104,0.8641938
2007-01-01,1991-01-11,0.7712919,0.62899953,0.73389745
2008-01-01,1980-01-08,0.91288203,0.3530847,1.1770452
2009-01-01,1997-01-01,0.903739,0.52983165,0.98368305
2010-01-01,1982-01-01,0.79168326,0.6099179,0.9285697
2011-01-01,1976-12-24,0.7275807,0.66605335,0.8996188
2012-01-01,1990-12-29,0.8453585,0.54207015,0.66961426
2013-01-01,2018-01-01,0.65189576,0.44624352,0.8090086
2014-01-01,1974-01-04,0.7611587,0.45345345,0.89158034
2015-01-01,2011-12-26,0.9300166,0.40302917,0.81083053
2016-01-01,1974-01-09,0.76769984,0.6352544,1.0318846
2017-01-01,1975-12-24,0.7556202,0.629857,0.7972566
2018-01-01,1998-01-05,0.6481124,0.31354782,0.6558197
1958-01-02,1976-12-24,0.7657999,0.57097936,1.061292
1959-01-02,1963-12-31,0.8577578,0.706319,0.87416947
1960-01-02,1977-12-27,0.94406265,0.44348237,1.1281896
1961-01-02,2014-01-01,0.79809874,0.28953546,0.9746087
1962-01-02,1982-01-12,1.1461853,0.26744893,0.82788026
1963-01-02,1996-12-23,0.8423705,0.42995456,0.99720544
1964-01-02,2006-01-09,0.89584136,0.30088925,0.9852459
1965-01-02,1965-12-28,0.85039866,0.28160942,0.89069396
1966-01-02,1991-01-08,0.6803028,0.6167581,0.76290923
1967-01-02,1995-01-11,0.7282352,0.81548357,0.8481085
1968-01-02,2000-12-30,0.6791695,0.38636774,0.8249814
1969-01-02,1978-01-05,0.9449266,0.4845202,0.9210838
1970-01-02,1959-01-11,0.8520375,0.71634376,0.78877276
1971-01-02,1965-01-03,0.72881126,0.57315356,0.9755653
1972-01-02,1970-12-26,0.94664216,0.57298744,0.9168234
1973-01-02,2007-12-24,1.1934578,0.36793464,0.9615423
1974-01-02,1969-12-24,0.8221923,0.43204072,0.9400556
1975-01-02,1991-12-28,0.74795544,0.40523478,0.80575943
1976-01-02,1965-01-09,0.7745975,0.6074145,0.8959516
1977-01-02,1979-12-25,0.99030656,0.48462445,1.0451546
1978-01-02,1975-01-10,0.8472233,0.23085123,0.8869984
1979-01-02,1995-01-12,0.7508721,0.45891115,1.0166371
1980-01-02,1985-01-02,0.5543826,0.39037162,0.72507775
1981-01-02,2005-01-03,0.73344606,0.54482675,0.68705034
1982-01-02,2018-01-02,0.6857167,0.94206995,0.7776609
1983-01-02,2007-01-06,0.7675117,0.39576632,0.6769269
1984-01-02,2004-12-24,0.70931095,0.50125295,0.70809317
1985-01-02,1980-01-02,0.5543826,0.39037162,0.72507775
1986-01-02,1994-01-04,0.69409573,0.51294196,0.92703074
1987-01-02,2002-12-31,0.8416675,0.35780236,0.96301347
1988-01-02,1994-12-29,1.0035217,0.43190074,0.8676983
1989-01-02,2016-12-29,0.7573432,0.27795926,0.8495454
1990-01-02,1962-01-07,0.74792594,0.76087195,0.83682203
1991-01-02,2007-01-08,0.8702206,0.49534962,0.6654147
1992-01-02,2005-01-06,0.81864154,0.4004606,0.6663571
1993-01-02,1996-12-26,0.75238407,0.53104514,0.9174397
1994-01-02,2016-01-07,0.7560524,0.62286824,0.8987208
1995-01-02,1980-01-02,0.7663391,0.38249704,0.8239759
1996-01-02,2004-01-01,0.9655441,0.4613052,0.9603174
1997-01-02,1999-01-10,0.7200648,0.6047524,0.9929849
1998-01-02,1962-01-11,0.7479569,0.6290161,0.66049075
1999-01-02,1966-12-29,0.9221107,0.5042309,0.8699091
2000-01-02,2012-01-11,0.7160077,0.37681144,0.71795833
2001-01-02,2002-12-27,0.80449235,0.5384918,0.7673729
2002-01-02,2009-01-02,1.1052362,0.64375865,1.1935676
2003-01-02,2018-01-03,0.7464879,0.611797,0.72020674
2004-01-02,1987-01-03,0.7522023,0.5616371,1.1387255
2005-01-02,1981-01-01,0.48722652,0.5789959,0.67442703
2006-01-02,1991-12-27,0.7004651,0.58251864,0.8263359
2007-01-02,2015-01-03,0.87230575,0.37329274,0.7196694
2008-01-02,1966-01-08,0.93337893,0.415274,1.0120331
2009-01-02,1976-12-24,0.8468662,0.49331862,0.8569542
2010-01-02,1967-01-05,0.7409961,0.455962,0.84275955
2011-01-02,1976-12-26,0.5926942,0.26870412,0.9514069
2012-01-02,1990-12-30,0.8703038,0.38552475,0.7819915
2013-01-02,1988-12-25,0.83723414,0.45763394,1.0405725
2014-01-02,1961-01-03,0.89946616,0.5879991,0.7311894
2015-01-02,2016-12-26,0.8409026,0.2980767,0.6627681
2016-01-02,1986-01-09,0.68784094,0.8113395,1.0416095
2017-01-02,1960-01-06,0.8194188,0.32896647,0.8706826
2018-01-02,1979-12-30,0.7188446,0.5508871,0.82072014
1958-01-03,1976-12-24,0.70125574,0.5028327,0.90587366
1959-01-03,1961-01-05,0.6558857,0.48603737,0.8277975
1960-01-03,2002-12-29,0.9037163,0.77467704,0.88783693
1961-01-03,1965-12-24,0.72458285,0.2775812,0.9300755
1962-01-03,1982-01-12,1.155948,0.31587377,0.94790626
1963-01-03,1995-12-31,1.0107365,0.5787985,0.7522628
1964-01-03,1993-01-02,0.8680511,0.34370133,0.8796928
1965-01-03,1967-12-29,0.80477124,0.4070124,0.79205555
1966-01-03,1993-12-25,0.6584813,0.58070534,0.9244845
1967-01-03,1985-01-10,0.82722235,0.49276897,0.8860457
1968-01-03,1997-12-28,0.71315163,0.34044066,0.8538373
1969-01-03,1973-01-04,0.9490808,0.4912164,0.8296689
1970-01-03,1959-01-11,1.0586168,0.7506358,0.88900644
1971-01-03,1982-01-12,0.8751326,0.4339097,0.8998807
1972-01-03,1971-01-13,1.0876974,0.32944533,1.071549
1973-01-03,1974-01-01,1.039275,0.41800165,0.84216654
1974-01-03,1960-12-29,0.7673679,0.7151386,0.9721976
1975-01-03,2012-01-11,0.58825547,0.2615862,0.7804852
1976-01-03,1981-01-04,0.81565326,0.51263845,0.93442875
1977-01-03,1979-12-25,0.90004724,0.5717887,1.0962079
1978-01-03,1976-12-28,0.63272566,0.72307247,0.8476925
1979-01-03,1968-01-13,0.8629859,0.5506251,1.0332602
1980-01-03,2004-01-05,0.80736834,0.42932788,0.96745735
1981-01-03,1975-01-07,0.79892534,0.52905434,0.88135415
1982-01-03,1978-12-27,0.96048075,0.55516714,0.8996973
1983-01-03,2007-01-06,0.83495116,0.49689242,0.7353202
1984-01-03,2018-01-01,0.60077953,0.8223132,0.7060408
1985-01-03,1980-01-02,0.6191813,0.42858863,0.66543543
1986-01-03,1961-01-04,0.65332806,0.3631499,0.917791
1987-01-03,1980-01-02,0.5848206,0.38418543,0.92272234
1988-01-03,1962-01-13,0.79751813,0.37007293,0.79706514
1989-01-03,1991-12-31,0.8195172,0.5179869,0.8625848
1990-01-03,1958-01-03,0.8432642,0.35867465,1.0578473
1991-01-03,2012-01-02,0.8710456,0.48038712,0.7596728
1992-01-03,2005-01-08,0.59602076,0.49574485,0.565696
1993-01-03,1996-12-26,0.9790939,0.69809866,0.91071504
1994-01-03,2005-12-31,0.88067645,0.4268945,0.80447686
1995-01-03,2017-01-05,0.6919471,0.33207756,0.8936251
1996-01-03,1966-01-08,0.96198153,0.58927476,0.8720486
1997-01-03,2003-01-09,0.5909589,0.43421733,1.0769815
1998-01-03,1960-12-26,0.8285433,0.4177871,0.71916
1999-01-03,1994-01-12,0.8398596,0.2695508,0.7242625
2000-01-03,2005-01-05,0.73723996,0.4800373,0.76632595
2001-01-03,2014-01-08,0.69337296,0.64370865,0.83681124
2002-01-03,1989-12-30,1.3162156,0.5216952,1.1287581
2003-01-03,1982-01-05,0.78529984,0.57533944,0.7443437
2004-01-03,1969-12-25,0.76854175,0.53147036,1.083546
2005-01-03,1981-01-02,0.73344606,0.54482675,0.68705034
2006-01-03,1969-12-24,0.7910241,0.60228604,0.8882347
2007-01-03,1999-12-31,0.704903,0.65330786,0.80464154
2008-01-03,2010-01-13,0.74116355,0.9118246,0.7595195
2009-01-03,2011-01-02,0.82077694,0.33742973,1.1122429
2010-01-03,1967-01-08,0.84453297,0.4414278,0.9668073
2011-01-03,1966-12-26,0.7787309,0.40328312,0.9585993
2012-01-03,1991-01-05,0.77993643,0.31569287,0.8271092
2013-01-03,1989-01-05,0.88746434,0.36149463,0.937056
2014-01-03,1999-01-02,1.0502602,0.38212124,0.78198695
2015-01-03,1983-12-30,0.7525906,0.53478557,0.7755731
2016-01-03,1972-01-11,1.0054151,0.4425786,1.0777092
2017-01-03,1976-01-12,0.7934462,0.5384505,0.93772644
2018-01-03,2003-01-02,0.7464879,0.611797,0.72020674
1958-01-04,2010-12-29,0.8156891,0.36680773,0.8859297
1959-01-04,1961-01-05,0.7101786,0.47721824,0.8384672
1960-01-04,1982-12-25,0.9404354,0.63937587,0.9092681
1961-01-04,1977-01-12,0.6866181,0.34167704,0.8929829
1962-01-04,2000-01-09,1.014769,0.52285826,0.92938274
1963-01-04,1996-01-01,1.0439322,0.46985227,1.013557
1964-01-04,1992-12-29,0.69009036,0.47478426,0.9205262
1965-01-04,1971-01-03,0.9005399,0.54289913,0.8999197
1966-01-04,1979-01-14,0.98085445,0.3456347,0.9415786
1967-01-04,1979-01-13,0.8450945,0.49557167,0.94032115
1968-01-04,1984-01-05,0.7044002,0.65344363,0.8174617
1969-01-04,1969-12-27,0.85511667,0.46416798,1.1083322
1970-01-04,1965-12-27,1.2446077,0.30259576,0.9068629
1971-01-04,1969-12-28,0.9196452,0.5738101,0.9168832
1972-01-04,1971-01-14,0.98827523,0.40178958,1.0693688
1973-01-04,1969-01-03,0.9490808,0.4912164,0.8296689
1974-01-04,2014-01-01,0.7611587,0.45345345,0.89158034
1975-01-04,2012-01-11,0.79239327,0.44777992,0.74961466
1976-01-04,1966-01-04,0.7332856,0.3606161,1.042402
1977-01-04,1961-01-12,1.4116526,0.66923964,1.1087291
1978-01-04,2017-01-04,0.77349585,0.3491808,0.90942043
1979-01-04,2016-01-14,0.7152827,0.77261096,1.1423274
1980-01-04,1986-01-10,0.8759244,0.5215622,0.8824276
1981-01-04,1959-01-08,0.76086277,0.39631447,0.8044922
1982-01-04,2002-12-30,0.9104076,0.4145246,0.9733416
1983-01-04,2007-01-07,0.7316061,0.3431074,0.6933492
1984-01-04,2017-01-13,0.5320365,0.3670853,0.740906
1985-01-04,1963-01-14,0.7181349,0.660809,0.9422507
1986-01-04,1961-01-09,0.63666254,0.40802202,0.9669172
1987-01-04,1966-12-26,0.62787503,0.43672526,0.8299128
1988-01-04,1991-01-06,0.81156844,0.37378103,0.8792891
1989-01-04,2011-12-28,0.7723828,0.46520737,0.93174255
1990-01-04,1992-12-30,0.9256935,0.35260117,1.0855312
1991-01-04,2012-01-02,0.8886898,0.27510464,0.7722013
1992-01-04,2005-01-05,0.6640668,0.5086845,0.7797668
1993-01-04,1995-01-04,0.60013336,0.6496917,0.8609301
1994-01-04,2005-12-31,0.86662775,0.3515853,0.85521287
1995-01-04,1993-01-04,0.60013336,0.6496917,0.8609301
1996-01-04,1966-01-08,1.0220566,0.7355001,1.0556138
1997-01-04,2002-12-31,0.7962298,0.4595859,0.98680615
1998-01-04,2018-01-01,0.6795963,0.5120464,0.73894817
1999-01-04,1994-01-12,0.8481818,0.37893912,0.7766312
2000-01-04,2005-01-05,0.64386153,0.5160498,0.7589929
2001-01-04,2014-01-04,0.9828686,0.3910313,0.81009394
2002-01-04,1964-01-03,1.1378851,0.508018,1.1612341
2003-01-04,1999-01-09,0.76148844,0.24565832,0.945429
2004-01-04,1979-01-14,0.84662676,0.5190646,1.0152117
